relative_path,url
connectors/exact-online.md,https://www.zoho.com/analytics/help/connectors/exact-online.html
connectors/facebook-ads.md,https://www.zoho.com/analytics/help/connectors/facebook-ads.html
connectors/facebook-competitive.md,https://www.zoho.com/analytics/help/connectors/facebook-competitive.html
connectors/facebook-page.md,https://www.zoho.com/analytics/help/connectors/facebook-page.html
connectors/freshdesk.md,https://www.zoho.com/analytics/help/connectors/freshdesk.html
connectors/google-ads.md,https://www.zoho.com/analytics/help/connectors/google-ads.html
connectors/google-advanced-analytics.md,https://www.zoho.com/analytics/help/connectors/google-advanced-analytics.html
connectors/google-adwords.md,https://www.zoho.com/analytics/help/connectors/google-adwords.html
connectors/gsc.md,https://www.zoho.com/analytics/help/connectors/gsc.html
connectors/how-forecasting-works.md,https://www.zoho.com/analytics/help/connectors/how-forecasting-works.html
connectors/hubspot-crm.md,https://www.zoho.com/analytics/help/connectors/hubspot-crm.html
connectors/hubspot-marketing.md,https://www.zoho.com/analytics/help/connectors/hubspot-marketing.html
connectors/instagram.md,https://www.zoho.com/analytics/help/connectors/instagram.html
connectors/jira.md,https://www.zoho.com/analytics/help/connectors/jira.html
connectors/linkedin-ads.md,https://www.zoho.com/analytics/help/connectors/linkedin-ads.html
connectors/linkedin-page.md,https://www.zoho.com/analytics/help/connectors/linkedin-page.html
connectors/mailchimp.md,https://www.zoho.com/analytics/help/connectors/mailchimp.html
connectors/me-servicedesk-plus-ondemand.md,https://www.zoho.com/analytics/help/connectors/me-servicedesk-plus-ondemand.html
connectors/me-servicedesk-plus-onpremise.md,https://www.zoho.com/analytics/help/connectors/me-servicedesk-plus-onpremise.html
connectors/me-servicedesk-plus.md,https://www.zoho.com/analytics/help/connectors/me-servicedesk-plus.html
connectors/me-supportcenter-plus.md,https://www.zoho.com/analytics/help/connectors/me-supportcenter-plus.html
connectors/monday.com.md,https://www.zoho.com/analytics/help/connectors/monday.com.html
connectors/oracle_netsuite.md,https://www.zoho.com/analytics/help/connectors/oracle_netsuite.html
connectors/pipedrive.md,https://www.zoho.com/analytics/help/connectors/pipedrive.html
connectors/qualtrics.md,https://www.zoho.com/analytics/help/connectors/qualtrics.html
connectors/quickbooks-desktop.md,https://www.zoho.com/analytics/help/connectors/quickbooks-desktop.html
connectors/quickbooks-online.md,https://www.zoho.com/analytics/help/connectors/quickbooks-online.html
connectors/quickbooks.md,https://www.zoho.com/analytics/help/connectors/quickbooks.html
connectors/sage.md,https://www.zoho.com/analytics/help/connectors/sage.html
connectors/sales-iq.md,https://www.zoho.com/analytics/help/connectors/sales-iq.html
connectors/salesforce-crm.md,https://www.zoho.com/analytics/help/connectors/salesforce-crm.html
connectors/salesforce-solution.md,https://www.zoho.com/analytics/help/connectors/salesforce-solution.html
connectors/security-controls.md,https://www.zoho.com/analytics/help/connectors/security-controls.html
connectors/semrush.md,https://www.zoho.com/analytics/help/connectors/semrush.html
connectors/shopify.md,https://www.zoho.com/analytics/help/connectors/shopify.html
connectors/site24x7.md,https://www.zoho.com/analytics/help/connectors/site24x7.html
connectors/smartsheet.md,https://www.zoho.com/analytics/help/connectors/smartsheet.html
connectors/sprints.md,https://www.zoho.com/analytics/help/connectors/sprints.html
connectors/stripe-metrics.md,https://www.zoho.com/analytics/help/connectors/stripe-metrics.html
connectors/stripe.md,https://www.zoho.com/analytics/help/connectors/stripe.html
connectors/survey-gizmo.md,https://www.zoho.com/analytics/help/connectors/survey-gizmo.html
connectors/survey-monkey.md,https://www.zoho.com/analytics/help/connectors/survey-monkey.html
connectors/teamwork-crm.md,https://www.zoho.com/analytics/help/connectors/teamwork-crm.html
connectors/teamwork.md,https://www.zoho.com/analytics/help/connectors/teamwork.html
connectors/teamworkdesk.md,https://www.zoho.com/analytics/help/connectors/teamworkdesk.html
connectors/twitter-competitive.md,https://www.zoho.com/analytics/help/connectors/twitter-competitive.html
connectors/twitter.md,https://www.zoho.com/analytics/help/connectors/twitter.html
connectors/woocommerce.md,https://www.zoho.com/analytics/help/connectors/woocommerce.html
connectors/xero.md,https://www.zoho.com/analytics/help/connectors/xero.html
connectors/youtube-channel.md,https://www.zoho.com/analytics/help/connectors/youtube-channel.html
connectors/zendesk.md,https://www.zoho.com/analytics/help/connectors/zendesk.html
connectors/zoho-books.md,https://www.zoho.com/analytics/help/connectors/zoho-books.html
connectors/zoho-bugtracker.md,https://www.zoho.com/analytics/help/connectors/zoho-bugtracker.html
connectors/zoho-campaigns.md,https://www.zoho.com/analytics/help/connectors/zoho-campaigns.html
connectors/zoho-commerce.md,https://www.zoho.com/analytics/help/connectors/zoho-commerce.html
connectors/zoho-creator.md,https://www.zoho.com/analytics/help/connectors/zoho-creator.html
connectors/zoho-creator/entry-forms.md,https://www.zoho.com/analytics/help/connectors/zoho-creator/entry-forms.html
connectors/zoho-crm.md,https://www.zoho.com/analytics/help/connectors/zoho-crm.html
connectors/zoho-desk.md,https://www.zoho.com/analytics/help/connectors/zoho-desk.html
connectors/zoho-expense.md,https://www.zoho.com/analytics/help/connectors/zoho-expense.html
connectors/zoho-forms.md,https://www.zoho.com/analytics/help/connectors/zoho-forms.html
connectors/zoho-inventory.md,https://www.zoho.com/analytics/help/connectors/zoho-inventory.html
connectors/zoho-invoice.md,https://www.zoho.com/analytics/help/connectors/zoho-invoice.html
connectors/zoho-people.md,https://www.zoho.com/analytics/help/connectors/zoho-people.html
connectors/zoho-projects.md,https://www.zoho.com/analytics/help/connectors/zoho-projects.html
connectors/zoho-recruit.md,https://www.zoho.com/analytics/help/connectors/zoho-recruit.html
connectors/zoho-subscriptions.md,https://www.zoho.com/analytics/help/connectors/zoho-subscriptions.html
connectors/zoho-survey.md,https://www.zoho.com/analytics/help/connectors/zoho-survey.html
connectors/zohobooks.md,https://www.zoho.com/analytics/help/connectors/zohobooks.html
creating-reports.md,https://www.zoho.com/analytics/help/creating-reports.html
creator-report-tab.md,https://www.zoho.com/analytics/help/creator-report-tab.html
creator/data.md,https://www.zoho.com/analytics/help/creator/data.html
dashboard-customization.md,https://www.zoho.com/analytics/help/dashboard-customization.html
dashboard.md,https://www.zoho.com/analytics/help/dashboard/
dashboard/create-dashboard.md,https://www.zoho.com/analytics/help/dashboard/create-dashboard.html
dashboard/filter.md,https://www.zoho.com/analytics/help/dashboard/filter.html
dashboard/kpi-widgets.md,https://www.zoho.com/analytics/help/dashboard/kpi-widgets.html
dashboard/working-with-dashboard.md,https://www.zoho.com/analytics/help/dashboard/working-with-dashboard.html
dashboardsapp.md,https://www.zoho.com/analytics/help/dashboardsapp.html
dashboardsapp/android.md,https://www.zoho.com/analytics/help/dashboardsapp/android.html
dashboardsapp/iphone.md,https://www.zoho.com/analytics/help/dashboardsapp/iphone.html
dashboardsapp/share_pubilsh_android.md,https://www.zoho.com/analytics/help/dashboardsapp/share_pubilsh_android.html
dashboardsapp/share_pubilsh_iphone.md,https://www.zoho.com/analytics/help/dashboardsapp/share_pubilsh_iphone.html
data-alert.md,https://www.zoho.com/analytics/help/data-alert.html
data-bucketing.md,https://www.zoho.com/analytics/help/data-bucketing.html
data-merging.md,https://www.zoho.com/analytics/help/data-merging.html
